NAME,PROCESSOR,RAM,HDD,SSD,GRAPHIC CARD,DISPLAY,OPERATING SYSTEM,PRICE,IMAGE-src
Acer One S1001 (NT.G86SI.002) Laptop (4th Gen Atom Quad Core/ 2GB/ 32GB eMMC/ Win10/ Touch),Intel Atom,2 GB DDR3 RAM,32 GB Hard Disk,,Intel HD Graphics,"10 inches, Touch Screen",Windows 10 OS,"9,799",https://cdn1.smartprix.com/rx-iGSVrbqMY-w103-h125/acer-one-s1001-nt-g8.jpg
Acer Aspire E3-112M (NX.MSPSI.001) (4th Gen Celeron Dual Core/ 2GB/ 500GB/ Win8.1),Intel Celeron,2 GB DDR3 RAM,500 GB Hard Disk,,Intel HD Graphics,"15.6 inches, 1366 x 768 pixels",Windows 8 OS,"11,494",https://cdn1.smartprix.com/rx-iNVc38p0b-w103-h125/acer-aspire-e3-112m.jpg
Acer Aspire One S1003 (NT.LCQSI.001) Laptop (Atom Quad Core x5/ 2GB/ 32GB SSD/ Win10),Intel Atom,2 GB DDR3 RAM,,32 GB SSD,Intel HD Graphics,"10.1 inches, 1200 x 800 pixels, Touch Screen",Windows 10 OS,"12,299",https://cdn1.smartprix.com/rx-it1V7IqTE-w103-h125/acer-aspire-one-s100.jpg
Acer Aspire E3-111 Laptop (UN.MNUSI.001) (4th Gen Intel Celeron Dual Core/ 2GB/ 500GB/ Win8.1),Intel Celeron,2 GB DDR3 RAM,500 GB Hard Disk,,Intel HD Graphics,"11.6 inches, 1366 x 768 pixels",Windows 8 OS,"12,500",https://cdn1.smartprix.com/rx-iJRY8Okji-w103-h125/acer-aspire-e3-111-l.jpg
Acer Aspire Switch 10 E SW3-016 (NT.G8VSI.001) Laptop (Atom Quad Core/ 2GB/ 32GB SSD/ Win10),Intel Atom,2 GB DDR4 RAM,32 GB Hard Disk,,Intel HD Graphics,"10.1 inches, 1366 x 768 pixels",Windows 10 OS,"12,990",https://cdn1.smartprix.com/rx-iyUolUeeI-w103-h125/acer-aspire-switch-1.jpg
Acer Gateway NE46 Notebook (PDC/ 2GB/ 320GB/ Linux) (UN.Y52SI.004),Intel Pentium,2 GB  RAM,320 GB Hard Disk,,Intel HD Graphics,"14 inches, 1366 x 768 pixels",Linux OS,"12,999",https://cdn1.smartprix.com/rx-iU0Sn60e3-w103-h125/acer-gateway-ne46-no.jpg
Acer Aspire Switch 10E SW3-016 (NT.G8WEK.002) Laptop (Atom Quad Core X5/ 2GB/ 32GB SSD/ Win10),Atom X5,2 GB DDR3L RAM,32 GB Hard Disk,,Intel Integrated Graphic,"10.1 inches, Touch Screen",Windows OS,"13,190",https://cdn1.smartprix.com/rx-iOiqPq9xJ-w103-h125/acer-aspire-switch-1.jpg
Acer Switch One 10 SW110-1CT (NT.H7NSI.001) Laptop (Atom Quad Core/ 2GB/ 32GB SSD/ Win10),Intel Cherrytrail Atom 7th Gen,2 GB DDR3 RAM,32 GB Hard Disk,,Intel Integrated,"10.1 inches, 1366 x 768 pixels, Touch Screen",Windows 10 OS,"13,290",https://cdn1.smartprix.com/rx-iXdveQUWl-w103-h125/acer-switch-one-10-s.jpg
Acer SW1-011 (NT.LCTSI.001) Laptop (Atom Quad Core x5/ 2GB/ 500GB/ 32GB eMMC/ Win10),Intel Atom,2 GB DDR3 RAM,500 GB Hard Disk,,Intel HD Graphics,"10.1 inches, 1280 x 800 pixels, Touch Screen",Windows 10 OS,"13,494",https://cdn1.smartprix.com/rx-i66guCRDx-w103-h125/acer-sw1-011-nt-lcts.jpg
Acer Switch One SW110-1CT (UT.709SI.001) Laptop (Atom Quad Core/ 2GB/ 32GB eMMC/ Win10),Intel Atom,2 GB DDR3 RAM,32 GB Hard Disk,,Intel HD 400,"10.1 inches, 1280 x 800 pixels, Touch Screen",Windows 10 OS,"13,990",https://cdn1.smartprix.com/rx-ivm8RJnaT-w103-h125/acer-switch-one-sw11.webp
Acer Aspire 3 A315-31 (NX.GNTSI.003) Laptop (CDC/ 2GB/ 500GB/ Linux),Intel Celeron,2 GB DDR3 RAM,500 GB Hard Disk,,,"15.6 inches, 1366 x 768 pixels",Linux OS,"13,999",https://cdn1.smartprix.com/rx-iRt66Bx6K-w103-h125/acer-aspire-3-a315-3.jpg
Acer Gateway (UM.Y52SI.006) Notebook (PDC/ 2GB/ 320GB/ FreeDOS),Intel Pentium,2 GB DDR3 RAM,320 GB Hard Disk,,Intel HD Graphics,"14 inches, 1366 x 768 pixels",DOS OS,"14,230",https://cdn1.smartprix.com/rx-iwVXDL7ow-w103-h125/acer-gateway-um-y52s.jpg
Acer Aspire ES1-132 Notebook (CDC/ 2GB/ 500GB/ Linux)(NX.GG2SI.002),Intel Celeron,2 GB DDR3 RAM,500 GB Hard Disk,,"11.6 inches, 1366 x 786 pixels",Linux OS,1 Year Warranty,"14,699",https://cdn1.smartprix.com/rx-iFu8uifj3-w103-h125/acer-aspire-es1-132.jpg
Acer Aspire E11 ES1-111 (NX.MRKSI.004) Netbook (4th Gen CDC/ 2GB/ 500GB/ Linux),Intel Celeron,2 GB DDR3 RAM,500 GB Hard Disk,,Intel HD Graphics,11.6 inches,Linux OS,"14,999",https://cdn1.smartprix.com/rx-iWJNwt8fe-w103-h125/acer-aspire-e11-es1.jpg
Acer Aspire ES1-131 (NX.MYKSI.024) Netbook (CDC/ 2GB/ 500GB/ Free DOS),Intel Celeron,2 GB DDR3 RAM,500 GB Hard Disk,,Intel Integrated HD520,"11.6 inches, 1366 x 768 pixels",Linux OS,"14,999",https://cdn1.smartprix.com/rx-ijf9ILji4-w103-h125/acer-aspire-es1-131.jpg
Acer C730 Chromebook (CDC/ 2GB/ 32GB EMMC/ Chrome OS) (NX.MRCSI.003),Intel Celeron,2 GB DDR3 RAM,32 GB Hard Disk,,Intel HD Graphics,"11.6 inches, 1366 x 768 pixels",Chrome OS,"15,499",https://cdn1.smartprix.com/rx-iVHdxHni7-w103-h125/acer-c730-chromebook.jpg
Acer E15 ES1-531-C2YE (UN.MZ8SI.023) Notebook (CDC/ 2GB/ 500GB/ FreeDOS),Intel Celeron 4th Gen,2 GB DDR3 RAM,500 GB Hard Disk,,Intel Integrated HD,"15.6 inches, 1366 x 768 pixels",Linux OS,"15,499",https://cdn1.smartprix.com/rx-ikZ5e0f6A-w103-h125/acer-e15-es1-531-c2y.jpg
Acer Aspire Switch 10 E SW3-016 (NT.G8WEK.002) Laptop (Atom Quad Core X5/ 2GB/ 32GB SSD/ Win10),Intel Atom Intel Atom x5-Z8300,2 GB LPDDR3 RAM,,32 GB SSD,Intel HD,"10.1 inches, 1280 x 800 pixels, Touch Screen",Windows 10 OS,"15,500",https://cdn1.smartprix.com/rx-icVSUAyId-w103-h125/acer-aspire-switch-1.jpg
Acer One S1001 (NT.G86SI.001) Laptop (4th Gen Atom Quad Core/ 2GB/ 32GB eMMC/ Win8.1),Intel Atom,2 GB DDR3 RAM,32 GB Hard Disk,,Intel HD Graphics,"10 inches, Touch Screen",Windows 8 OS,"15,899",https://cdn1.smartprix.com/rx-i0nXic4iy-w103-h125/acer-one-s1001-nt-g8.jpg
