NAME,PROCESSOR,RAM,HDD,NO,SSD,DISPLAY,OPERATING SYSTEM,",",IMAGE-src
Apple MacBook 12inch MNYM2HN/A Laptop (Intel Core M3/ 8GB/ 256GB SSD/ Mac OS),Intel Core m3 7th Gen,8 GB DDR3 RAM,NO,256 GB SSD,Intel Integrated HD 615,"12 inches, 2304 x 1440 pixels",Mac OS,"32,311",https://cdn1.smartprix.com/rx-ip4YmUdyz-w103-h125/apple-macbook-12inch.jpg
Apple MacBook Pro 13inch MD101HN/A Laptop (Ci5/ 4GB/ 500GB/ Mac OS X Lion),Intel Core i5 3rd Gen,4 GB DDR3 RAM,500 GB Hard Disk,NO,Intel HD Graphics 4000,"13.3 inches, 1280 x 800 pixels",Mac OS,"34,000",https://cdn1.smartprix.com/rx-in8gV5RST-w103-h125/apple-macbook-pro-13.jpg
Apple MacBook Air 11 inch MD223HN/A Laptop (2nd Gen Ci5/ 4GB/ 500GB/ Mac OS X Lion),Intel Core i5 2nd Gen,4 GB DDR3 RAM,64 GB Hard Disk,NO,Intel HD Graphics 4000,"11 inches, 1366 x 768 pixels",Mac OS,"49,999",https://cdn1.smartprix.com/rx-ilmQFAlgW-w103-h125/apple-macbook-air-11.jpg
Apple MacBook Pro MF839HN Laptop (5th Gen Ci5/ 8GB/ 128GB/ Mac OS X Yosemite),Intel Core i5 5th Gen,8 GB DDR3 RAM,NO,NO,Intel Iris Graphics 6100,"13.5 inches, 2560 x 1600 pixels",Mac OS,"51,000",https://cdn1.smartprix.com/rx-iyvYL7m4x-w103-h125/apple-macbook-pro-mf.jpg
Apple MacBook Air 11 inch MD711HN/B Laptop (Ci5/ 4GB/ 128GB Flash/ Mac OS X Mavericks),Intel 4th Gen 0U Core i5,4 GB DDR3 RAM,NO,NO,Intel HD Graphics 5000,"11 inches, 1366 x 768 pixels",Mac OS,"55,000",https://cdn1.smartprix.com/rx-ie8o2tprn-w103-h125/apple-macbook-air-11.jpg
Apple MacBook Air 11inch MJVM2HN/A Laptop (5th Gen Ci5/ 4GB/ 128GB SSD/ OS X Yosemite),Intel Core i5 5th Gen,4 GB DDR3 RAM,NO,NO,Intel HD Graphics 5500,"11.6 inches, 1366 x 768 pixels",Backlit Keyboard,"56,674",https://cdn1.smartprix.com/rx-i7s3kSjOs-w103-h125/apple-macbook-air-11.jpg
Apple MacBook Air 11 inch MD711HN/A Laptop (4th Gen Ci5/ 4GB/ 128GB Flash/ Mac OS X Mountain Lion),Intel Core i5 4th Gen,4 GB DDR3 RAM,128 GB Hard Disk,NO,Intel HD Graphics 5000,"11 inches, 1366 x 768 pixels",Mac OS,"56,790",https://cdn1.smartprix.com/rx-ipTe83fT6-w103-h125/apple-macbook-air-11.jpg
Apple MacBook Air 13inch MJVE2HN/A Laptop (Core i5/ 4GB/ 128GB SSD/ OS X Yosemite),Intel Core i5 5th Gen,4 GB DDR3 RAM,NO,128 GB SSD,Intel HD Graphics 6000,"13.3 inches, 1440 x 900 pixels",Mac OS,"56,999",https://cdn1.smartprix.com/rx-iS2SeCdZA-w103-h125/apple-macbook-air-13.jpg
Apple MacBook Air MREE2HN Ultrabook (8th Gen Ci5/ 8GB/ 128GB SSD/ MacOS Mojave),Intel Core i5 8th Gen,8 GB LPDDR3 RAM,NO,128 GB SSD,Intel UHD 617,"13.3 inches, 2560 x 1600 pixels",Mac OS,"57,450",https://cdn1.smartprix.com/rx-iyl5wL3uu-w103-h125/apple-macbook-air-mr.jpg
Apple MacBook Air MQD32HN/A Laptop (Ci5/ 8GB/ 128GB/ MacOS Sierra),Intel Core i5 5th Gen,8 GB DDR3 RAM,NO,128 GB SSD,Intel HD Graphics 6000,"13.3 inches, 1440 x 900 pixels",Mac OS,"58,999",https://cdn1.smartprix.com/rx-iv9zmdsLG-w103-h125/apple-macbook-air-mq.webp
Apple MacBook Air 13 inch MD760HN/B Laptop (Ci5/ 4GB/ 128GB Flash/ Mac OS X Mavericks),Intel 4th Gen Core i5,4 GB DDR3 RAM,NO,NO,Intel HD Graphics 5000,"13 inches, 1440 x 900 pixels",Mac OS,"60,693",https://cdn1.smartprix.com/rx-ihjftVfCv-w103-h125/apple-macbook-air-13.jpg
Apple MacBook Air 11 inch MD712HN/B Laptop (Ci5/ 4GB/ 256 GB Flash/ Mac OS X Mavericks),Intel 4th Gen Core i5,4 GB DDR3 RAM,Intel HD Graphics 5000,NO,NO,"11 inches, 1366 x 768 pixels",Mac OS,"65,900",https://cdn1.smartprix.com/rx-iswZPC8F7-w103-h125/apple-macbook-air-11.jpg
