NAME,PROCESSOR,RAM,HDD,SSD,GRAPHIC CARD,DISPLAY,OPERATING SYSTEM, PRICE ,IMAGE-src
Asus X200MA-Bing-KX495B X Series Laptop(4th Gen Pentium Quad Core/ 2GB/ 500GB/ Win8.1),Intel Pentium 4th Gen,2 GB DDR3 RAM,500 GB Hard Disk,NO,Integrated Intel HD Graphics,"11.6 inches, 1366 x 768 pixels",Windows 8 OS," 12,000 ",https://cdn1.smartprix.com/rx-iSAwnmDhN-w103-h125/asus-x200ma-bing-kx4.jpg
Asus EeeBook E402SA-WX013T Notebook (CDC/ 2GB/ 32GB EMMC/ Win10),Intel Celeron,2 GB DDR3 RAM,NO,32 GB SSD,Intel HD Graphics,"14 inches, 1366 x 768 pixels",Windows 10 OS," 12,994 ",https://cdn1.smartprix.com/rx-iwnl8qexW-w103-h125/asus-eeebook-e402sa.jpg
Asus E200HA-FD0004TS Notebook (AQC/ 2GB/ 32GB EMMC/ Win10),Intel Atom,2 GB DDR3 RAM,NO,NO,Intel Integrated HD,"11.6 inches, 1366 x 768 pixels",Windows 10 OS," 13,490 ",https://cdn1.smartprix.com/rx-iLttMXBMY-w103-h125/asus-e200ha-fd0004ts.jpg
Asus EeeBook X205TA Notebook (4th Gen Atom Quad Core/ 2GB/ 32GB EMMC/ Win8.1),Quad Intel Core Atom 4th Gen,2 GB DDR3 RAM,32 GB Hard Disk,NO,Intel HD Graphics,"11.6 inches, 1366 x 768 pixels",Windows 8 OS," 13,749 ",https://cdn1.smartprix.com/rx-i4msPUNLw-w103-h125/asus-eeebook-x205ta.jpg
Asus E203NA-FD08 Laptop (CDC/ 2GB/ 32GB EMMC/ Win10 Home),Intel Celeron,2 GB DDR3 RAM,NO,NO,Intel Integrated HD 500,"11.6 inches, 1366 x 768 pixels",Windows 10 OS," 13,990 ",https://cdn1.smartprix.com/rx-iBsWq7TYP-w103-h125/asus-e203na-fd08-lap.jpg
Asus E203NA-FD020T Laptop (CDC/ 2GB/ 32GB/ Win10),Intel Celeron,2 GB DDR3 RAM,NO,NO,Intel Integrated HD,"11.6 inches, 1366 x 768 pixels",Windows 10 OS," 13,990 ",https://cdn1.smartprix.com/rx-i9Kuqpuq2-w103-h125/asus-e203na-fd020t-l.jpg
Asus E200HA-FD0005TS Notebook (AQC/ 2GB/ 32GB SSD/ Win10),Intel Atom,2 GB DDR3 RAM,NO,NO,Intel Integrated HD Graphics,"11.6 inches, 1366 x 768 pixels",Windows 10 OS," 13,999 ",https://cdn1.smartprix.com/rx-i4Tm6u3Lw-w103-h125/asus-e200ha-fd0005ts.jpg
Asus X205TA-FD0060TS Notebook (4th Gen Atom Quad Core/ 2GB/ 32GB EMMC/ Win10),3rd Gen,2 GB DDR3 RAM,NO,NO,Intel Integrated HD,"11.6 inches, 1366 x 768 pixels",Windows OS," 14,400 ",https://cdn1.smartprix.com/rx-ioEJMVOdW-w103-h125/asus-x205ta-fd0060ts.jpg
Asus X205TA-BING-FD0077TS Notebook (4th Gen Atom Quad Core/ 2GB/ 32GB EMMC/ Win10),Intel Atom,2 GB DDR3 RAM,NO,NO,Intel Integrated HD,11.6 inches,Windows 10 OS," 14,499 ",https://cdn1.smartprix.com/rx-irhwc1IbR-w103-h125/asus-x205ta-bing-fd0.jpg
Asus X205TA-FD0076TS Notebook (4th Gen Atom Quad Core/ 2GB/ 32GB EMMC/ Win10),"Quad Core, 1.33 GHz Clock Speed",32 GB Hard Disk,NO,NO,Intel Integrated HD,"11.6 inches, 1366 x 768 pixels",Windows OS," 14,549 ",https://cdn1.smartprix.com/rx-iDizMHtOS-w103-h125/asus-x205ta-fd0076ts.jpg
Asus X200MA-KX424D X Laptop (4th Gen CDC/ 2GB/ 500GB/ Free Dos),Intel Celeron 4th Gen,2 GB DDR3 RAM,500 GB Hard Disk,NO,Intel Gen7 Graphics,"11.6 inches, 1366 x 768 pixels",DOS OS," 14,599 ",https://cdn1.smartprix.com/rx-ir43sIgnd-w103-h125/asus-x200ma-kx424d-x.jpg
