NAME,PROCESSOR,RAM,HDD,SSD,GRAPHIC CARD,DISPLAY,OPERATING SYSTEM, PRICE ,IMAGE-src
HP ProBook 450 G5 (5HY85PA) Laptop (7th Gen Core i5/ 4GB/ 1TB/ DOS/ 2GB Graph),Intel Core i5 7th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,AMD Radeon R5 Series Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 8,994 ",https://cdn1.smartprix.com/rx-ivbL0kRxV-w103-h125/hp-15-af142au-notebo.jpg
HP 14-am090tu (Z4Q60PA) Laptop (5th Gen Ci3/ 4GB/ 1TB/ Win10),Intel 5005U Core i3 5th Gen,4 GB DDR3 RAM,1 TB Hard Disk,NO,AMD Radeon,"15.6 inches, 1366 x 768 pixels",Windows 10 OS," 9,994 ",https://cdn1.smartprix.com/rx-iHoNkjCP7-w103-h125/hp-15-bw526au-laptop.jpg
HP Pavilion 13-U004TU (W0J50PA) Laptop (6th Gen Ci3/ 4GB/ 1TB/ Win10),6th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD Graphics,"13.3 inches, 1366 x 768 pixels",Windows 8 OS," 11,994 ",https://cdn1.smartprix.com/rx-iDhQ2wgQp-w103-h125/hp-13-c019tu-stream.jpg
HP 250 G4 (T0J15PA) Laptop (5th Gen Ci5/ 4GB/ 1TB/ FreeDOS),Intel Core i5 5th Gen,4 GB DDR3 RAM,1 TB Hard Disk,NO,AMD Radeon HD 7310,"14 inches, 1366 x 768 pixels",Windows 8 OS," 11,999 ",https://cdn1.smartprix.com/rx-i1cal0mQu-w103-h125/hp-1000-1401au-lapto.jpg
HP 245 G2 SeriesLaptop(APU Quad Core A4/2GB/500 GB/ATI RADEON HD8330/Ubuntu),AMD A4 APU,2 GB DDR3 RAM,500 GB Hard Disk,NO,192 NVIDIA Cuda Cores,"13.86 inches, 1366 x 768 pixels",Chrome OS," 12,990 ",https://cdn1.smartprix.com/rx-itJGGpYyP-w103-h125/hp-14-x006tu-k5b40pa.jpg
HP 15q-ds0028TU (6AL09PA) Laptop (7th Gen Ci5/ 4GB/ 1TB/ Win10 Home),Intel Core i5 7th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD Graphics,"11.6 inches, 1366 x 768 pixels",DOS OS," 14,999 ",https://cdn1.smartprix.com/rx-i2CdmbWJ7-w103-h125/hp-pavilion-11-s003t.jpg
HP 15-db0186au (5KV06PA) Laptop (Ryzen 3/ 4GB/ 1TB/ Win 10),AMD Ryzen 3,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD 405,"15.6 inches, 1366 x 768 pixels",Windows OS," 15,800 ",https://cdn1.smartprix.com/rx-iMB4aFHJB-w103-h125/hp-15-bs547tu-2ey89p.jpg
HP 15-ay143tu (1HP23PA) Laptop (7th Gen Ci3/ 4GB/ 500GB/ Win10),Intel Core i3 7100U 7th Gen,4 GB DDR3 RAM,500 GB Hard Disk,NO,AMD Radeon HD 6480G Graphics,"14 inches, 1366 x 768 pixels",DOS OS," 15,999 ",https://cdn1.smartprix.com/rx-iLTeOGGF7-w103-h125/hp-g4-1303au-noteboo.jpg
HP 15q-dy0013AU Laptop (APU Dual Core A6/ 4 GB/ 1TB/ Win10 Home),AMD APU A6,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel Graphics Media Accelerator 3600,"10.1 inches, 1024 x 600 pixels",DOS OS," 16,800 ",https://cdn1.smartprix.com/rx-i4s3MEpJT-w103-h125/hp-mini-200-4301tu-n.jpg
HP Pavilion x360 14-dh0150TU Laptop (8th Gen Core i5/ 8GB/ 1TB HDD/ Win10 Home),Intel Core i5 8th Gen,8 GB DDR4 RAM,1 TB Hard Disk,NO,Intel UHD 620,"14 inches, 1366 x 768 pixels",DOS OS," 17,155 ",https://cdn1.smartprix.com/rx-iwJ2RKaKw-w103-h125/hp-245-g6-6bf83pa-la.jpg
HP Pavilion 14-bf013tu Laptop(7th Gen Ci3/ 4GB/ 1TB/ Wind10),Intel Core i3 7th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD Graphics,"11.6 inches, 1366 x 768 pixels",Windows 8 OS," 17,399 ",https://cdn1.smartprix.com/rx-irkrsBlyK-w103-h125/hp-stream-11-d023tu.jpg
HP Imprint 15Q-BU009TU Laptop (PQC/ 4GB/ 1TB/ FreeDOS),Intel Pentium,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD Graphics,"15.6 inches, 1366 x 768 pixels",DOS OS," 17,499 ",https://cdn1.smartprix.com/rx-iV5MIkpo7-w103-h125/hp-15-ac039tu-notebo.jpg
HP 240 G5 (Y1S93PA) Laptop (5th Gen Ci3/ 4GB/ 500GB/ FreeDOS),Intel Core i3 5th Gen,4 GB DDR3 RAM,500 GB Hard Disk,NO,AMD Radeon R2 Graphics,"15.6 inches, 1366 x 768 pixels",DOS OS," 17,599 ",https://cdn1.smartprix.com/rx-ikOPCdPNN-w103-h125/hp-15-af002au-notebo.jpg
HP 15-bs614TU Laptop (CDC/ 4GB/ 1TB/ FreeDOS),Intel Celeron,4 GB DDR3 RAM,1 TB Hard Disk,NO,AMD Radeon HD 6480G Graphics,"14 inches, 1366 x 768 pixels",DOS OS," 17,890 ",https://cdn1.smartprix.com/rx-iQufh50Fh-w103-h125/hp-1000-1b10au-noteb.jpg
HP ProBook x360 11 G1 EE (1FY91UT) Laptop (Celeron Dual Core/ 4GB/ 128GB SSD/ Win10 Pro),Celeron,4 GB DDR3 RAM,NO,128 GB SSD,AMD Radeon R2,"14 inches, 1366 x 768 pixels",DOS OS," 17,990 ",https://cdn1.smartprix.com/rx-iMQ9bAhiX-w103-h125/hp-245-g5-1cr35pa-la.jpg
HP 245 G7 (7GZ75PA) Laptop (APU Dual Core A6/ 4GB/ 1TB/ FreeDOS),AMD APU A6,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD,"15.6 inches, 1366 x 768 pixels",Windows 10 OS," 17,997 ",https://cdn1.smartprix.com/rx-imiDvGePj-w103-h125/hp-15-ay016tu-laptop.jpg
HP 15-bs611tu (3DY18PA) Notebook (Intel Celeron N3060/ 4GB/ 1TB/ Win10 Home),Intel Celeron,4 GB DDR3L RAM,1 TB Hard Disk,NO,AMD Radeon R2 Series Graphics,"15.6 inches, 1366 x 768 pixels",DOS OS," 17,999 ",https://cdn1.smartprix.com/rx-iVmp3m6AG-w103-h125/hp-imprint-15q-by001.jpg
HP 250 G5 (1AS40PA) Laptop (6th Gen Ci3/ 4GB/ 1TB/ FreeDOS/ 2GB Graph),Intel Core i3 6th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,AMD Radeon R4,"15.6 inches, 1366 x 768 pixels",Windows 10 OS," 17,999 ",https://cdn1.smartprix.com/rx-ixftXCMwJ-w103-h125/hp-15q-by003au-2sl04.webp
HP 15s-du2009TU Laptop (10th Gen Core i3/ 4GB/1TB HDD/ Win10 Home),Intel Core i3 10th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD Graphics,"15.6 inches, 1366 x 768 pixels",DOS OS," 17,999 ",https://cdn1.smartprix.com/rx-in4Oxfc1T-w103-h125/hp-15-ac117tu-laptop.jpg
HP 15q-by008AU (4FV83PA) Notebook (AMD A6/ 4GB/ 1TB/ Win10 Home),APU A6,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD,"15.6 inches, 1366 x 768 pixels",DOS OS," 18,299 ",https://cdn1.smartprix.com/rx-iI6bBWl4P-w103-h125/hp-250-g5-y1s88pa-la.jpg
HP Imprint 15Q-BY001AU Laptop (APU Dual Core E2/ 4GB/ 500GB/ FreeDOS),AMD E2 APU,4 GB DDR4 RAM,500 GB Hard Disk,NO,Integreted Graphics,14 inches,DOS OS," 18,799 ",https://cdn1.smartprix.com/rx-iSqllCriw-w103-h125/hp-240-g3-series-n5q.jpg
HP 15-di0000tu (8WM99PA) Laptop (Celeron Dual Core/ 4GB/1TB/ Win10),Intel Celeron,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD Graphics,"15.6 inches, 1366 x 768 pixels",DOS OS," 18,989 ",https://cdn1.smartprix.com/rx-iPNa7DbtY-w103-h125/hp-250-g6-2rc12pa-no.jpg
HP Omen 15-dh0138TX (7QU43PA) Laptop (9th Gen Core i7/ 16GB/ 1TB 512GB SSD/ Win10/ 8GB Graph),Intel Core i7 9th Gen,16 GB DDR4 RAM,1 TB Hard Disk,NO,NO,"14 inches, 1366 x 768 pixels",Windows 10 OS," 18,990 ",https://cdn1.smartprix.com/rx-i4mE90hej-w103-h125/hp-14-q001tu-chromeb.jpg
HP 15-be005TU (X5Q17PA) Laptop (5th Gen Intel Ci3/ 4GB/ 1TB/ FreeDOS),Intel Core i3 5th Gen,4 GB DDR3 RAM,1 TB Hard Disk,NO,AMD Radeon R2,"15.6 inches, 1366 x 768 pixels",DOS OS," 18,990 ",https://cdn1.smartprix.com/rx-ipQZJ8Jnh-w103-h125/hp-15q-by009au-4ne20.jpg
HP 15-be014TX Notebook (6th Gen Ci3/ 4GB/ 1TB/ FreeDOS/ 2GB Graphic),Intel Core i3 6th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,AMD Radeon R5,"14 inches, 1366 x 768 pixels",DOS Dos OS," 18,990 ",https://cdn1.smartprix.com/rx-iKIMeMcnc-w103-h125/hp-245-g6-5lr52pa-la.jpg
HP 15-Di0000TX Laptop (8th Gen Core i3/ 4GB/ 1TB/ Win10 Home/ 2GB Graph),Intel Core i3 8th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,AMD Radeon R5 Series Graphics,"15.6 inches, 1366 x 768 pixels",DOS OS," 18,990 ",https://cdn1.smartprix.com/rx-ifCqpqthB-w103-h125/hp-15-bg003au-z1d90p.jpg
HP 15-bs670tx (3WD64PA) Notebook (6th Gen Ci3/ 4GB/ 1TB/ Win10/ 2GB Graph),Intel Core i3 6th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,AMD Radeon R4,"14 inches, 1366 x 768 pixels",DOS OS," 18,999 ",https://cdn1.smartprix.com/rx-ieycuAfjb-w103-h125/hp-245-g4-p1b38pa-la.jpg
HP 15-bs542tu Notebook (6th Gen Ci3/ 4GB/ 1TB/ FreeDOS),Intel Core i3 6th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD Graphics,"14 inches, 1366 x 768 pixels",Windows 8 OS," 19,040 ",https://cdn1.smartprix.com/rx-iYaWwlFig-w103-h125/hp-250-g3-m3m69pa-la.jpg
HP 14s-DR1009TU Laptop (10th Gen Core i5/ 8GB/ 512GB SSD/ Win10 Home),Intel Core i5 10th Gen,8 GB DDR4 RAM,NO,512 GB SSD,Intel UHD 600,"15.6 inches, 1366 x 768 pixels",Windows 10 OS," 19,290 ",https://cdn1.smartprix.com/rx-iiAP4QzIE-w103-h125/hp-15-da0098tu-4st41.jpg
HP Pavilion x360 14-dh1007TU Laptop (10th Gen Core i3/ 4GB/ 256GB SSD/ Win10),Intel Core i3 10th Gen,4 GB DDR4 RAM,NO,256 GB SSD,Intel HD Graphics,"11.6 inches, 1366 x 768 pixels",Windows 10 OS," 19,390 ",https://cdn1.smartprix.com/rx-iQtUs2HX0-w103-h125/hp-pavilion-11-s002t.jpg
