NAME,PROCESSOR,RAM,,HDD,SSD,GRAPHIC CARD,DISPLAY,OPERATING SYSTEM, PRICE ,IMAGE-src
Lenovo ThinkBook 14 20RV00BLIH Laptop (10th Gen Core i3/ 4GB/ 1TB/ FreeDos),Intel Core i3 10th Gen,4 GB DDR4 RAM,,1 TB Hard Disk,NO,1 GB AMD Graphics Card,"15.6 inches, 1366 x 768 pixels",DOS OS," 32,990 ",https://cdn1.smartprix.com/rx-i3HN1Fw0H-w103-h125/lenovo-b50-70-notebo.jpg
Lenovo Legion Y540 (81SY00C8IN) Gaming Laptop (9th Gen Core i7/ 16GB/ 1TB SSD/ Win10/ 4GB Graph),Intel Core i7 9th Gen,16 GB  RAM,,1 TB Hard Disk,NO,1 GB AMD Graphics Card,"15.6 inches, 1366 x 768 pixels",Windows 8 OS," 23,690 ",https://cdn1.smartprix.com/rx-iwdm4lyXv-w103-h125/lenovo-essential-g50.jpg
Lenovo Legion Y520 (80WK014JIN) Notebook (7th Gen Ci5/ 16GB/ 1TB/ Win10/ 4GB Graph),Intel Core i5 7300HQ 7th Gen,16 GB DDR4 RAM,,500 GB Hard Disk,NO,1 GB AMD Graphics Card,"14 inches, 1366 x 768 pixels",DOS OS," 26,000 ",https://cdn1.smartprix.com/rx-i3i1N9mDv-w103-h125/lenovo-ideapad-s400.jpg
Lenovo Legion Y520 (80WK00R0IN) Laptop (7th Gen Ci7/ 16GB/ 1TB 128GB SSD/ Win10/ 4GB Graph),Intel Core i7 7700HQ 7th Gen,16 GB DDR4 RAM,,500 GB Hard Disk,NO,1 GB AMD Graphics Card,"14 inches, 1366 x 768 pixels",Windows 8 OS," 29,500 ",https://cdn1.smartprix.com/rx-i8hIHQcOk-w103-h125/lenovo-ideapad-s400.jpg
Lenovo Ideapad 320 15IKB (80XL037CIN) Laptop (7th Gen Ci5/ 16GB/ 1TB/ Win10/ 4GB Graph),Intel Core i5 7th Gen,16 GB DDR4 RAM,,500 GB Hard Disk,NO,1 GB AMD Graphics Card,"14 inches, 1366 x 768 pixels",DOS OS," 28,990 ",https://cdn1.smartprix.com/rx-ihCOi1OUs-w103-h125/lenovo-ideapad-s400.jpg
Lenovo Legion Y520 Notebook (7th Gen Ci7/ 16GB/ 1TB/ Win10/ 4GB Graph),Intel Core i7 7th Gen,16 GB DDR4 RAM,,500 GB Hard Disk,NO,1 GB AMD Graphics Card,14 inches,Windows 8 OS," 28,989 ",https://cdn1.smartprix.com/rx-iO9dxOayI-w103-h125/lenovo-ideapad-s405.jpg
Lenovo Ideapad Y700 (80NV005FUS) Laptop (6th Gen Ci7/ 16GB/ 1TB 128GB SSD/ Win10/ 4GB Graph),Intel Core i7 6th Gen,16 GB DDR4 RAM,,500 GB Hard Disk,NO,1 GB AMD Graphics Card,"15.6 inches, 1366 x 768 pixels",Windows 7 OS," 35,990 ",https://cdn1.smartprix.com/rx-isGQVmdUh-w103-h125/lenovo-essential-g57.jpg
Lenovo Legion Y540 (81SX00G6IN) Gaming Laptop (9th Gen core i7/ 16GB/ 1TB/ Win10/ 6GB Graph),Intel Core i7 9th Gen,16 GB DDR4 RAM,,1 TB Hard Disk,NO,1 GB NVIDIA Graphics Card,15.6 inches,DOS OS," 32,900 ",https://cdn1.smartprix.com/rx-iiK83BrG6-w103-h125/lenovo-essential-g50.jpg
Lenovo Ideapad Y700 (80Q000E3IH) Notebook (6th Gen Ci7/ 16GB/ 1TB/ Win10/ 4GB Graph),Intel Core i7 6th Gen,16 GB DDR4 RAM,,1 TB Hard Disk,NO,1 GB NVIDIA Graphics Card,"15.6 inches, 1366 x 768 pixels",Windows 8 OS," 31,616 ",https://cdn1.smartprix.com/rx-ixX15ROkp-w103-h125/lenovo-ideapad-z580.jpg
Lenovo ThinkPad T480 Laptop (8th Gen Ci5/ 16GB/ 1TB/ Win10 Pro),Intel Core i5 8th Gen,16 GB DDR4 RAM,,1 TB Hard Disk,NO,1 GB NVIDIA Graphics Card,15.6 inches,Windows 8 OS," 37,500 ",https://cdn1.smartprix.com/rx-iXS3p5wvY-w103-h125/lenovo-ideapad-z510.jpg
